Image,parental genotype,generation,dob,exposure,concentration (g/L),day post fettilization (dpf),ThyroidMean,ThyroidArea,ThyroidIntDen,BackgroundMean,BackgroundArea,CTCF
0.01gL_10dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,10,7677.539,14455,110978826,6939.5444,8575,10667712.1
0.01gL_5dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,5,6749.2002,35620,240406512,3148.0329,7134,128273579
0.01gL_6dpf_fish2.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,6,9579.4834,17136,164154027,5490.6428,3429,70066372.8
0.01gL_6dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,6,9897.349,14784,146322408,4762.7509,10780,75909898.3
0.01gL_7dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,7,4955.1763,39618,196314174,4551.732,8477,15983656.4
0.01gL_7dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,7,5000.0429,7605,38025326,2917.285,6996,15839373.4
0.01gL_8dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,8,13179.8648,42525,560473749,4639.3627,3968064,363184849
0.01gL_8dpf_fish7.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,8,5173.2894,31320,162027424,3259.6878,21386,59934002.5
0.01gL_9dpf_fish2.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,9,6242.8567,16614,103718821,5253.3721,4472,16439297
0.01gL_9dpf_fish3.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,9,7271.2372,50048,363910878,3192.0691,13728,204154202
0.01gL_9dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.01,10,5794.3321,28782,166772466,4602.5565,8874,34301686.1
0gL_10dpf_fish1.tif,TRAR11xAB,F2,2026-05-19,PTU,0,10,4663.1244,26784,124897124,2305.7428,6897,63140109.2
0gL_10dpf_fish2.tif,TRAR11xAB,F2,2026-05-19,PTU,0,10,8601.5187,14539,125057481,5054.2713,4515,51573430.3
0gL_10dpf_fish3.tif,TRAR11xAB,F2,2026-05-19,PTU,0,10,4474.9232,4557,20392225,4360.5982,3800,520979.194
0gL_5dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0,5,7655.6691,4080,31235130,7065.0155,258,2409866.74
0gL_6dpf_fish10.tif,TRAR11xAB,F2,2026-05-19,PTU,0,6,9732.2173,18407,179140924,6866.993,6000,52740183.8
0gL_8dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0,8,6698.5232,39960,267672989,2497.1505,6450,167886853
0gL_8dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0,8,16906.8251,16215,274144169,2868.2393,6816,227635669
0gL_9dpf_fish3.tif,TRAR11xAB,F2,2026-05-19,PTU,0,9,13090.0172,16860,220697690,2126.018,10471,184853026
0gL_9dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0,9,4775.7272,21828,104244574,1495.4608,13600,71601655.5
0gL_9dpf_fish7.tif,TRAR11xAB,F2,2026-05-19,PTU,0,9,3991.0844,18705,74653234,1884.4713,5676,39404198.7
0.1gL_10dpf_fish2.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,10,9789.984,22446,219745981,10254.4156,13926,-10424630.5
0.1gL_10dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,10,11971.8629,14112,168946929,12207.7596,10780,-3328975.15
0.1gL_10dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,10,4603.5984,31620,145565780,6261.3106,17052,-52416862.4
0.1gL_5dpf_fish1.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,5,8452.8441,30240,255614005,7947.2736,18252,15288452.6
0.1gL_5dpf_fish3.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,5,2913.5588,30096,87686466,5010.8446,22523,-63119911.8
0.1gL_5dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,5,8178.15,15392,125878085,9909.9168,11256,-26655355.1
0.1gL_6dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,6,5090.1555,32568,165776185,7202.3361,8357,-68789497.9
0.1gL_6dpf_fish7.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,6,6197.5465,9261,57395478,8678.0403,3520,-22971853.6
0.1gL_6dpf_fish8.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,6,11091.9004,33012,366165817,10266.3777,14880,27252156.8
0.1gL_7dpf_fish3.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,7,5315.8861,22950,121999585,6385.1557,10080,-24539737.3
0.1gL_7dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,7,7745.9987,44505,344735670,6245.2214,16632,66792089.8
0.1gL_7dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,7,5447.7444,43740,238284338,6240.1197,19251,-34658499.2
0.1gL_8dpf_fish2.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,8,3733.0009,18315,68369912,4853.0338,5124,-20513401.4
0.1gL_8dpf_fish4.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,8,4516.8587,21041,95039224,6009.9232,11343,-31415570.3
0.1gL_8dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,8,7296.5886,32373,236212462,6351.0582,20736,30609656.2
0.1gL_9dpf_fish1.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,9,6451.637,49068,316568923,4730.9285,47160,84431721.3
0.1gL_9dpf_fish5.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,9,5930.1179,68949,408875701,7881.9546,17712,-134577187
0.1gL_9dpf_fish6.tif,TRAR11xAB,F2,2026-05-19,PTU,0.1,9,9565.7747,37224,356076397,5781.9244,31968,140850043
0.0001gL_5dpf_fish2.tif,TRAR11xAB,F2,2026-05-19,PTU,0.0001,5,16013.8927,12716,203632660,2889.5594,5320,166889023
