parental genotype,generation,dob,exposure,concentration (ug/L),transgene (Y/N),plate,well,hatched (dpf),missing,mortality (dpf),deformity (dpf),heart rate (bpm),"1dpf Mean [GFP 469,525]","1dpf Min [GFP 469,525]","1dpf Max [GFP 469,525]","1dpf Std Dev [GFP 469,525]","1dpf CV [GFP 469,525]","1dpf Saturated Pixels Pct [GFP 469,525]","1dpf Total Intensity [GFP 469,525]","2dpf Mean [GFP 469,525]","2dpf Min [GFP 469,525]","2dpf Max [GFP 469,525]","2dpf Std Dev [GFP 469,525]","2dpf CV [GFP 469,525]","2dpf Saturated Pixels Pct [GFP 469,525]","2dpf Total Intensity [GFP 469,525]","3dpf Mean [GFP 469,525]","3dpf Min [GFP 469,525]","3dpf Max [GFP 469,525]","3dpf Std Dev [GFP 469,525]","3dpf CV [GFP 469,525]","3dpf Saturated Pixels Pct [GFP 469,525]","3dpf Total Intensity [GFP 469,525]","4dpf Mean [GFP 469,525]","4dpf Min [GFP 469,525]","4dpf Max [GFP 469,525]","4dpf Std Dev [GFP 469,525]","4dpf CV [GFP 469,525]","4dpf Saturated Pixels Pct [GFP 469,525]","4dpf Total Intensity [GFP 469,525]","5dpf Mean [GFP 469,525]","5dpf Min [GFP 469,525]","5dpf Max [GFP 469,525]","5dpf Std Dev [GFP 469,525]","5dpf CV [GFP 469,525]","5dpf Saturated Pixels Pct [GFP 469,525]","5dpf Total Intensity [GFP 469,525]","6dpf Mean [GFP 469,525]","6dpf Min [GFP 469,525]","6dpf Max [GFP 469,525]","6dpf Std Dev [GFP 469,525]","6dpf CV [GFP 469,525]","6dpf Saturated Pixels Pct [GFP 469,525]","6dpf Total Intensity [GFP 469,525]","7dpf Mean [GFP 469,525]","7dpf Min [GFP 469,525]","7dpf Max [GFP 469,525]","7dpf Std Dev [GFP 469,525]","7dpf CV [GFP 469,525]","7dpf Saturated Pixels Pct [GFP 469,525]","7dpf Total Intensity [GFP 469,525]","8dpf Mean [GFP 469,525]","8dpf Min [GFP 469,525]","8dpf Max [GFP 469,525]","8dpf Std Dev [GFP 469,525]","8dpf CV [GFP 469,525]","8dpf Saturated Pixels Pct [GFP 469,525]","8dpf Total Intensity [GFP 469,525]","9dpf Mean [GFP 469,525]","9dpf Min [GFP 469,525]","9dpf Max [GFP 469,525]","9dpf Std Dev [GFP 469,525]","9dpf CV [GFP 469,525]","9dpf Saturated Pixels Pct [GFP 469,525]","9dpf Total Intensity [GFP 469,525]","10dpf Mean [GFP 469,525]","10dpf Min [GFP 469,525]","10dpf Max [GFP 469,525]","10dpf Std Dev [GFP 469,525]","10dpf CV [GFP 469,525]","10dpf Saturated Pixels Pct [GFP 469,525]","10dpf Total Intensity [GFP 469,525]"
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,C3,3,12,,,120,3357,1,56127,6100,181.689,0,7457588641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407,1,65504,3598,255.775,0,3124800705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,1,C4,3,,,,,1978,1,11700,1271,64.266,0,4393716551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,1,65504,5182,466.346,0.062,2468165481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,2,A1,3,,12,,,2481,1,59255,1990,80.184,0.001,5511715451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,1,65504,3691,334.82,0.001,2448735400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,2,A2,3,,13,,150,2127,1,19580,2204,103.646,0,4724699315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418,1,65504,4729,333.469,0.048,3149869695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,2,A3,3,,12,,156,2171,1,31884,3213,148.023,0,4821828204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412,1,65504,4490,317.958,0.028,3136669596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,2,A4,3,12,,,,2322,1,27493,2760,118.864,0,5158417679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,1,47606,2115,208.445,0,2253540711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,2,B1,3,,14,,144,2039,1,14878,1145,56.155,0,4530114237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,1,65504,2284,304.11,0,1668269151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,2,B2,3,,13,,,3393,1,49728,5932,174.866,0,7536093143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,1,65504,5575,311.242,0.044,3978744689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,,2,B3,3,,11,,,2675,1,43264,4370,163.401,0,5941311556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,2,B4,3,,11,,,2628,1,29008,3762,143.141,0,5838382561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1,65504,6508,326.722,0.143,4425112045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,2,C1,3,,,,,1579,1,8547,1068,67.658,0,3506813394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1,65504,4811,384.982,0.064,2776127190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,2,C2,3,,11,,,1847,1,18606,1265,68.51,0,4102945962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,1,65504,2232,307.563,0,1612402830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,2,C3,3,,13,,150,1674,1,13900,1145,68.392,0,3717741707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,2,C4,3,,12,,,2394,1,19496,1996,83.376,0,5316927585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086,1,62169,3200,294.761,0,2411616283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,A1,3,,12,,138,1645,1,14869,1135,69.015,0,3653059456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702,1,65504,5135,301.758,0.046,3779952894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,A2,3,,12,,,3337,1,65504,7043,211.058,0.004,7412492233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380,1,65504,5336,224.158,0.056,5287922567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,A3,3,,12,,,1626,1,23439,2120,130.362,0,3611925668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132,1,65504,5156,241.877,0.053,4735391432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,A4,3,,,,,1903,1,9994,1148,60.298,0,4227566914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642,1,65504,3144,191.499,0.001,3646491256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,B1,3,,,,126,1746,1,12880,1214,69.56,0,3877858266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,1,65504,5953,311.943,0.12,4239533121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,3,B2,3,,,,144,1737,1,8968,1092,62.881,0,3858030184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805,1,65504,5807,321.674,0.174,4010369609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,B3,3,,12,,,2971,1,65504,5788,194.807,0,6600350465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,B4,2,14,,,,1610,1,15386,1147,71.217,0,3576965300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382,1,65504,1604,116.035,0,3070722623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,3,C1,3,,,,,3031,1,60004,6074,200.414,0,6732418983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636,1,65504,6603,250.48,0.202,5855753354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,C2,3,,14,,,2933,1,55160,5035,171.634,0,6516380591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525,1,65504,5633,223.058,0.048,5609636969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,3,C3,3,,14,,138,3459,1,61914,6391,184.778,0,7682941077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,1,65504,5135,202.966,0.02,5620010726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,3,C4,3,,12,,,2418,1,33627,3123,129.176,0,5371151658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1,39193,2228,114.404,0,4326313838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,4,A1,3,,11,,,2912,1,35061,3489,119.796,0.001,6468949213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446,1,65504,5813,237.686,0.064,5433141584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,4,A2,3,,,,132,3139,1,52590,5913,188.384,0,6971958404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696,1,65504,6250,231.823,0.159,5988578239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,4,A3,3,,,,,2901,1,60626,6160,212.349,0,6443578757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715,1,52860,2234,130.292,0,3808897975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,4,A4,3,,12,,114,2976,1,56568,5848,196.471,0,6611844062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2271,1,65504,3982,175.357,0.005,5044023926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,4,B1,3,,12,,,3394,1,56081,5161,152.06,0,7540065420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135,1,65504,4358,204.117,0.045,4742227762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,4,B2,3,,14,,,3609,1,52548,6032,167.149,0,8015965826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592,1,65504,4760,183.621,0.062,5758172711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,4,B3,3,,14,,,1758,1,13424,1424,81.012,0,3905458132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144,1,65504,3578,166.862,0.005,4763639827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,4,B4,3,,,,,3500,1,65504,7205,205.857,0.007,7774583528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574,1,65504,5721,222.239,0.068,5718212173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,4,C1,3,,12,,120,2701,1,36394,4909,181.732,0,6000814805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2339,1,65504,4756,203.305,0.036,5196343528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,4,C2,3,,,,,3081,1,62348,6124,198.767,0,6844553216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594,1,60595,2864,179.706,0,3540378386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,4,C3,3,,12,,,2560,1,51321,5321,207.842,0,5686610725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,1,65504,5138,206.318,0.014,5531920862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,4,C4,3,,,,150,2576,1,54783,5177,200.984,0,5722276537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2524,1,65504,6192,245.297,0.169,5607661988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,A1,3,,14,,132,1536,1,12259,1241,80.832,0,3411478972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1,65504,5788,286.638,0.087,4485576916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,A2,3,,,,,1831,1,44717,1441,78.705,0,4068424948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544,1,65504,4133,267.722,0.04,3429566537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,5,A3,3,,14,,138,1267,1,61138,1812,143.054,0,2814153448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,1,65504,4316,266.386,0.015,3598711885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,5,A4,3,,,,,1451,1,11328,1140,78.58,0,3223057533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691,1,65504,4764,281.73,0.072,3756075285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,B1,3,,13,,126,2771,1,60761,5968,215.405,0,6154746782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888,1,53864,3497,185.215,0,4194384369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,B2,3,,12,,,2089,1,27254,2787,133.431,0,4639967102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2089,1,65504,6560,314.071,0.142,4639562285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,B3,2,,,,,3068,1,65504,6924,225.687,0.011,6815093173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674,1,65504,6245,233.587,0.146,5939241864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,B4,3,,12,,108,2915,1,65504,6094,209.021,0.011,6476048977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,1,65504,3884,182.059,0.008,4739483359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,C1,3,,,,,2219,1,28109,2930,132.023,0,4929247497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814,1,65504,7473,265.572,0.308,6250663361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,5,C2,3,,12,,,2026,1,28190,2787,137.582,0,4499948977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392,1,65504,5219,218.157,0.04,5313729492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,5,C3,3,,,,,2966,1,51317,5531,186.493,0,6588473885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259,1,65504,5654,250.332,0.086,5017068049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,5,C4,3,,13,,,2586,1,42309,4567,176.595,0,5745239507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764,1,65504,3702,209.826,0.005,3919386380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,6,A1,3,,,,126,2788,1,35089,3968,142.303,0.001,6194073361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465,1,65504,6570,266.592,0.218,5474837988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,6,A2,3,,,,126,1553,1,10371,1135,73.048,0,3450882253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481,1,44801,2136,144.181,0,3290387222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,6,A3,3,,12,7,,2583,1,22147,3114,120.564,0,5738236505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865,1,65504,3600,193.048,0,4142632170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,6,A4,3,,14,,,2132,1,30904,2958,138.764,0,4735259699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2086,1,65504,3881,186.041,0.003,4634614717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,6,B1,3,,,,144,1693,1,65504,1283,75.793,0,3760797766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,6,B2,3,,13,,,2909,1,61889,7110,244.448,0,6461284189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597,1,65504,6126,235.931,0.144,5768071291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,6,B3,3,,,,,1577,1,12669,1321,83.81,0,3502153635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1,65504,5839,300.297,0.166,4319584324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,6,B4,3,,12,,,2668,1,43982,4871,182.534,0,5927293216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,1,65504,3716,183.69,0,4493720606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,6,C1,3,,12,,144,2420,1,52833,5365,221.711,0,5375756436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,1,65504,5678,226.576,0.121,5567217294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,6,C2,3,,12,,,1594,1,13975,1357,85.124,0,3540347221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,6,C3,3,,13,,,1830,1,22749,2221,121.419,0,4064080151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,1,65504,3713,194.418,0.028,4242817554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,6,C4,3,,13,,,3010,1,65504,7149,237.52,0.005,6686349392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269,1,65504,4697,206.984,0.055,5040991669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,7,A1,3,,14,,,,,,,,,,1496,1,18760,1311,87.604,0,3324147054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684,1,65504,5253,311.893,0.039,3741235698,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,7,A2,3,,13,,,,,,,,,,2379,1,41089,2829,118.907,0,5285079788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1,65504,5179,264.291,0.032,4353221400,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,7,A3,3,,13,,,,,,,,,,1983,1,25134,2096,105.675,0,4405442236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215,1,65504,6442,290.818,0.182,4920711217,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,7,A4,3,,,,,,,,,,,,1593,1,65504,1659,104.125,0.002,3539325033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103,1,65504,6450,306.787,0.192,4670514650,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,7,B1,3,,,,,,,,,,,,1430,1,15544,1251,87.478,0,3175486396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2833,1,65504,8402,296.571,0.302,6293024220,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,7,B2,3,,13,,,,,,,,,,2258,1,40304,3022,133.8,0,5016870519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2698,1,65504,7303,270.713,0.278,5992945700,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,7,B3,3,,14,,,,,,,,,,2547,1,34518,3317,130.228,0,5658776258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,1,65504,6153,234.891,0.176,5819395759,,,,,,,,,,,,,,,,,,,,,
