parental genotype,generation,dob,exposure,concentration (ug/L),transgene (Y/N),plate,well,object number,Size,Area,"Mean[Stitched[GFP 469,525]]",total GFP,Mean[Stitched[Bright Field]],"StdDev[Stitched[GFP 469,525]]","Peak[Stitched[GFP 469,525]]","Integral[Stitched[GFP 469,525]]",StdDev[Stitched[Bright Field]],,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,27,A3,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,27,A4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B1,23,36.6,1.05E+03,31018,32568900,15254,9731,58701,10670265,2929,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B1,24,20.3,322,21873,7043106,11627,2254,27106,2318574,1623,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B1,25,18.2,256,19831,5076736,14734,1257,22751,1665828,2319,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B1,26,61.9,2.89E+03,44626,128969140,4295,17168,65504,42350087,4647,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B2,3,20.3,316,16984,5366944,271,1259,20785,1766312,130,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B2,5,27.9,608,19698,11976384,163,3036,26281,3939537,96,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B3,5,16.4,207,24780,5129460,7852,985,27701,1685042,1994,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B3,6,20.7,332,24319,8073908,1111,1661,29630,2650725,719,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B4,22,33.9,879,22019,19354701,7113,5035,33864,6363485,2126,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,B4,23,41.3,1.33E+03,30293,40289690,429,10229,50612,13207790,220,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,27,C1,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,C2,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,C3,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,27,C4,13,35.8,995,22115,22004425,2777,4930,33451,7231624,1752,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,A1,4,21.2,335,14244,4771740,11216,751,15839,1566838,2217,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,A2,13,31,724,21205,15352420,11618,4379,30788,5046893,1400,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,A2,14,39.6,1.22E+03,31657,38621540,17019,12263,60233,12725924,3062,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,A3,9,31.9,718,17338,12448684,949,1480,20708,4091838,670,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,A3,12,33,849,22204,18851196,109,5669,34868,6195044,80,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,A4,10,36.8,1.06E+03,28377,30079620,3867,11437,54693,9931868,1939,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,A4,12,34.8,879,18615,16362585,5885,5426,36394,5379703,1015,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,B1,25,47.6,1.55E+03,23912,37063600,9075,6433,40121,12218923,1788,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,28,B2,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,B3,13,34.3,912,12357,11269584,10034,5541,25167,3707227,1395,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,B3,15,15.4,173,6550,1133150,9612,777,8525,373330,1211,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,B3,17,40.7,1.25E+03,15444,19305000,7173,8419,37379,6332071,2237,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,28,B4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,C1,1,19,277,12151,3365827,15966,1686,16691,1105739,2404,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,C1,2,29,627,13496,8461992,13001,2819,24161,2780203,1732,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,28,C2,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,C3,21,18.7,268,16685,4471580,9703,2886,22362,1468266,1812,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,C3,22,36,992,23291,23104672,1111,6957,40804,7592771,661,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,C4,2,29.1,660,22639,14941740,1239,4951,33006,4912727,665,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,28,C4,6,22,353,17515,6182795,4262,1827,22812,2031769,580,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,A1,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,A2,54,18.1,216,15981,3451896,462,682,17909,1134653,213,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,A3,4,20.6,335,13214,4426690,2743,1380,16654,1453578,703,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,A3,5,41.6,1.35E+03,19198,25917300,117,6328,33837,8523750,79,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,29,A4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B1,1,38.6,1.13E+03,28529,32237770,8173,10506,53156,10555845,1416,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B2,8,50.6,2.01E+03,28092,56464920,7230,12772,61568,18540587,2192,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B2,10,29.5,684,19379,13255236,5271,5511,33016,4360209,895,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B2,13,25.1,490,18825,9224250,5057,5925,31534,3030767,1288,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B3,1,40.1,1.26E+03,23706,29869560,6464,8845,40912,9814336,1137,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B3,3,49.7,1.82E+03,21577,39270140,6964,7437,38699,12881481,2127,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B3,5,35.6,994,30915,30729510,5099,14721,65504,10109099,1196,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,B4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C1,12,41.4,1.32E+03,14435,19054200,4741,3425,22652,6264764,3212,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C2,4,53.7,2.25E+03,27004,60759000,4606,10366,50579,19955613,928,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C2,7,41.3,1.31E+03,17973,23544630,5019,4698,29345,7728566,1412,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C2,9,29.7,672,14979,10065888,4632,2570,21753,3310390,1158,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,29,C3,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C4,56,50.2,1.98E+03,21351,42274980,4601,13505,62145,13878194,1069,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C4,59,31.8,757,13911,10530627,4053,4853,23087,3463842,1057,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C4,60,37.8,1.10E+03,12203,13423300,6044,4242,22350,4429693,1516,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,29,C4,65,28.4,630,12422,7825860,5163,4360,23464,2571376,1185,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A1,170,45.6,1.62E+03,8763,14196060,1563,2148,13991,4662138,1933,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A1,171,49,1.84E+03,9888,18193920,217,2644,17144,5991898,119,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A1,174,42.5,1.41E+03,8544,12047040,163,2290,14192,3972985,100,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A1,177,42,1.38E+03,8514,11749320,179,2522,14711,3865219,98,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A2,37,32,791,27224,21534184,6401,8767,52417,7078122,4205,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A3,1,35.8,998,16593,16559814,7280,6818,32790,5442357,2635,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A3,2,32.4,785,11460,8996100,5173,3781,24240,2956596,1963,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,A3,3,17.6,204,8191,1670964,6061,505,9573,548764,857,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,M,30,A4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,B1,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,B2,10,43.2,1.32E+03,11642,15367440,11743,2589,17619,5041142,1444,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,B2,11,17.1,219,8783,1923477,9890,1273,11835,632359,937,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,B3,13,16.2,158,15189,2399862,7913,1624,20333,789802,806,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,B3,14,50.8,1.98E+03,45537,90163260,8247,20871,65504,29644679,1544,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,30,B4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,30,B4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,30,B4,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,M,30,C1,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,M,30,C2,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,30,C3,,,,,0,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,C4,31,62.3,2.87E+03,22305,64015350,8347,7048,54828,21033658,1631,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,C4,32,36.4,1.00E+03,18058,18058000,7659,5260,40383,5940927,951,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,30,C4,33,37.9,1.12E+03,21449,24022880,10334,6658,43670,7914712,1171,,,,,,,,,
